listing_id,property_name,address,property_type,property_subtype,usage_type,status,sq_ft,price_per_sq_ft,price_basis,sale_price,cap_rate,availability,availability_date,market,country_code,country,state_province,city,locality,neighborhood,submarket,postal_code,geo_lat,geo_lng,map_url,facing,furnishing_status,loading_access,dock_doors,drive_in_doors,parking_spaces,nearest_highway,rail_access,additional_information
LC-US-0508,Hudson Yards Warehouse 508,"9252 Orchard St, New York",industrial,warehouse,logistics,available,121271,52.00,annual_rent,58573893,0.0655,Immediate,2026-05-19,New York,US,United States,NY,New York,Hudson Yards,Hudson Yards,New York - Hudson Yards,30836,40.703297,-74.075184,"https://www.google.com/maps/search/?api=1&query=40.703297,-74.075184",west,partially_furnished,grade_level,9,4,234,I-95,freight_spur_possible,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in New York - Hudson Yards."
LC-US-0301,Seaport Last Mile 301,"6138 Logistics Rd, Boston",industrial,last_mile,logistics,available,22156,40.00,annual_rent,4209640,0.0655,Immediate,2026-05-19,Boston,US,United States,MA,Boston,Seaport,Seaport,Boston - Seaport,26579,42.438616,-71.078705,"https://www.google.com/maps/search/?api=1&query=42.438616,-71.078705",waterfront,unfurnished,shared_yard,10,4,342,I-90,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Boston - Seaport. Waterfront-oriented frontage is part of this deterministic coastal demo profile."
LC-DE-2176,Freiham Campus 2176,"4217 Spruce Ave, Munich",mixed_use,campus,mixed_use,leased,35381,65.00,annual_rent,26712655,0.0661,Leased,2026-05-19,Munich,DE,Germany,Bavaria,Munich,Freiham,Freiham,Munich - Freiham,DE-6397,48.159251,11.661814,"https://www.google.com/maps/search/?api=1&query=48.159251,11.661814",street_front,partially_furnished,,,,577,A8,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on mixed_use use in Munich - Freiham."
LC-US-0611,Kent Valley Flex 611,"2793 Market Way, Seattle",industrial,flex,logistics,available,58209,56.00,annual_rent,44355258,0.0649,Immediate,2026-05-19,Seattle,US,United States,WA,Seattle,Kent Valley,Kent Valley,Seattle - Kent Valley,54734,47.622931,-122.390730,"https://www.google.com/maps/search/?api=1&query=47.622931,-122.390730",east,furnished,cross_dock,26,5,421,I-90,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Seattle - Kent Valley."
LC-US-0586,Brooklyn Specialty 586,"7599 Skyline Loop, New York",hospitality,specialty,hospitality,withdrawn,104636,63.00,annual_rent,61002788,,Withdrawn,2026-05-19,New York,US,United States,NY,New York,Brooklyn,Brooklyn,New York - Brooklyn,91938,40.659019,-73.934218,"https://www.google.com/maps/search/?api=1&query=40.659019,-73.934218",south,partially_furnished,,,,555,I-95,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on hospitality use in New York - Brooklyn."
LC-DE-1616,Freiham Warehouse 1616,"7736 Harbor St, Munich",industrial,warehouse,logistics,available,117420,46.00,annual_rent,89474040,0.0639,Immediate,2026-05-19,Munich,DE,Germany,Bavaria,Munich,Freiham,Freiham,Munich - Freiham,DE-3318,48.087530,11.633665,"https://www.google.com/maps/search/?api=1&query=48.087530,11.633665",street_front,warm_shell,dock_high,34,5,341,A9,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Munich - Freiham."
LC-SE-2041,Norrmalm Restaurant Ready 2041,"5293 Harbor Loop, Stockholm",retail,restaurant_ready,retail,coming_soon,29010,69.00,annual_rent,4931700,0.0766,Q3 2026,2026-07-01,Stockholm,SE,Sweden,Stockholm County,Stockholm,Norrmalm,Norrmalm,Stockholm - Norrmalm,SE-6722,59.250436,18.042293,"https://www.google.com/maps/search/?api=1&query=59.250436,18.042293",north,unfurnished,,,,303,E4,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Stockholm - Norrmalm."
LC-DE-2049,HafenCity Showroom 2049,"1891 Logistics Rd, Hamburg",retail,showroom,retail,coming_soon,16640,79.00,annual_rent,3411200,0.0630,Q4 2026,2026-10-01,Hamburg,DE,Germany,Hamburg,Hamburg,HafenCity,HafenCity,Hamburg - HafenCity,DE-5230,53.570588,9.952502,"https://www.google.com/maps/search/?api=1&query=53.570588,9.952502",waterfront,shell,,,,170,A24,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Hamburg - HafenCity. Waterfront-oriented frontage is part of this deterministic coastal demo profile."
LC-FR-2117,Part-Dieu Cold Storage 2117,"3828 Harbor Pkwy, Lyon",industrial,cold_storage,logistics,available,220134,55.00,annual_rent,85191858,0.0537,Immediate,2026-05-19,Lyon,FR,France,Auvergne-Rhone-Alpes,Lyon,Part-Dieu,Part-Dieu,Lyon - Part-Dieu,FR-9859,45.787007,4.776724,"https://www.google.com/maps/search/?api=1&query=45.787007,4.776724",corner,furnished,dock_high,29,3,309,A7,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Lyon - Part-Dieu."
LC-US-0864,South Loop Highrise 864,"2209 Gallery Ave, Chicago",multifamily,highrise,residential,under_offer,71626,33.00,annual_rent,13752192,0.0604,Under offer,2026-06-15,Chicago,US,United States,IL,Chicago,South Loop,South Loop,Chicago - South Loop,36069,41.801511,-87.716487,"https://www.google.com/maps/search/?api=1&query=41.801511,-87.716487",street_front,turnkey,,,,240,I-290,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on residential use in Chicago - South Loop."
