listing_id,property_name,address,property_type,property_subtype,usage_type,status,sq_ft,price_per_sq_ft,price_basis,sale_price,cap_rate,availability,availability_date,market,country_code,country,state_province,city,locality,neighborhood,submarket,postal_code,geo_lat,geo_lng,map_url,facing,furnishing_status,loading_access,dock_doors,drive_in_doors,parking_spaces,nearest_highway,rail_access,additional_information
LC-US-1331,Doral Class A 1331,"8592 Spruce Loop, Miami",office,class_a,office,available,5849,55.00,annual_rent,3877887,0.0559,Immediate,2026-05-19,Miami,US,United States,FL,Miami,Doral,Doral,Miami - Doral,62561,25.801191,-80.190984,"https://www.google.com/maps/search/?api=1&query=25.801191,-80.190984",east,furnished,,,,687,SR 826,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Miami - Doral."
LC-DK-1832,Glostrup Class A 1832,"4417 Skyline Ln, Copenhagen",office,class_a,office,available,4419,56.00,annual_rent,3376116,0.0809,Immediate,2026-05-19,Copenhagen,DK,Denmark,Capital Region,Copenhagen,Glostrup,Glostrup,Copenhagen - Glostrup,DK-9220,55.717056,12.502201,"https://www.google.com/maps/search/?api=1&query=55.717056,12.502201",street_front,warm_shell,,,,428,E47,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Copenhagen - Glostrup."
LC-SE-2027,Kista Class B 2027,"1755 Spruce St, Stockholm",office,class_b,office,available,11324,85.00,annual_rent,4099288,0.0759,Immediate,2026-05-19,Stockholm,SE,Sweden,Stockholm County,Stockholm,Kista,Kista,Stockholm - Kista,SE-7058,59.258771,18.122827,"https://www.google.com/maps/search/?api=1&query=59.258771,18.122827",east,furnished,,,,333,E18,freight_spur_possible,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Stockholm - Kista."
LC-US-0845,South Lake Union Neighborhood Center 845,"1607 River Row, Seattle",retail,neighborhood_center,retail,coming_soon,36312,82.00,annual_rent,19898976,0.0617,Q4 2026,2026-11-01,Seattle,US,United States,WA,Seattle,South Lake Union,South Lake Union,Seattle - South Lake Union,19687,47.695187,-122.249423,"https://www.google.com/maps/search/?api=1&query=47.695187,-122.249423",corner,furnished,,,,570,I-90,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Seattle - South Lake Union."
LC-DE-1503,Billbrook Flex 1503,"9251 Market Row, Hamburg",industrial,flex,logistics,available,147348,57.00,annual_rent,118909836,0.0694,Immediate,2026-05-19,Hamburg,DE,Germany,Hamburg,Hamburg,Billbrook,Billbrook,Hamburg - Billbrook,DE-4433,53.474300,9.994970,"https://www.google.com/maps/search/?api=1&query=53.474300,9.994970",courtyard,shell,grade_level,30,1,185,A24,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Hamburg - Billbrook."
LC-SE-2251,Kista Restaurant Ready 2251,"3363 Harbor St, Stockholm",retail,restaurant_ready,retail,coming_soon,21092,68.00,annual_rent,16683772,0.0701,Q3 2026,2026-07-01,Stockholm,SE,Sweden,Stockholm County,Stockholm,Kista,Kista,Stockholm - Kista,SE-6880,59.388677,18.105535,"https://www.google.com/maps/search/?api=1&query=59.388677,18.105535",east,unfurnished,,,,296,E4,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Stockholm - Kista."
LC-US-0257,RiNo Build To Rent 257,"4245 Orchard Loop, Denver",multifamily,build_to_rent,residential,under_offer,114425,48.00,annual_rent,41879550,0.0564,Under offer,2026-06-15,Denver,US,United States,CO,Denver,RiNo,RiNo,Denver - RiNo,34994,39.687017,-105.036175,"https://www.google.com/maps/search/?api=1&query=39.687017,-105.036175",north,furnished,,,,402,I-70,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on residential use in Denver - RiNo."
LC-FR-2089,Part-Dieu Adaptive Reuse 2089,"5956 Canal Ln, Lyon",hospitality,adaptive_reuse,hospitality,withdrawn,143863,35.00,annual_rent,25463751,,Withdrawn,2026-05-19,Lyon,FR,France,Auvergne-Rhone-Alpes,Lyon,Part-Dieu,Part-Dieu,Lyon - Part-Dieu,FR-5318,45.755868,4.870318,"https://www.google.com/maps/search/?api=1&query=45.755868,4.870318",north,unfurnished,,,,442,A6,freight_spur_possible,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on hospitality use in Lyon - Part-Dieu."
LC-US-1211,Cambridge Flex 1211,"9366 Logistics Rd, Boston",industrial,flex,logistics,available,35744,38.00,annual_rent,14905248,0.0650,Immediate,2026-05-19,Boston,US,United States,MA,Boston,Cambridge,Cambridge,Boston - Cambridge,34116,42.393107,-71.094421,"https://www.google.com/maps/search/?api=1&query=42.393107,-71.094421",east,furnished,cross_dock,13,0,305,I-93,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Boston - Cambridge."
LC-US-1430,Pioneer Square Class A 1430,"4320 Beacon Way, Seattle",office,class_a,office,available,48839,66.00,annual_rent,29401078,0.0704,Immediate,2026-05-19,Seattle,US,United States,WA,Seattle,Pioneer Square,Pioneer Square,Seattle - Pioneer Square,90626,47.602048,-122.255334,"https://www.google.com/maps/search/?api=1&query=47.602048,-122.255334",dual_aspect,warm_shell,,,,265,I-90,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Seattle - Pioneer Square."
